school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,how_long_delayed,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,incident_number,last_updated_on,breakdown_or_running_late,school_age_or_prek
2020-2021,1655951,Special Ed AM Run,1702,N114,Heavy Traffic,03785,2021-06-07 07:28:00,2021-06-07 07:29:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2021-06-07 07:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656077,Special Ed PM Run,74646,X080,Other,"08071,08464,08558",2021-06-07 13:59:00,2021-06-07 14:00:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,Yes,2021-06-07 14:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656205,Special Ed AM Run,1817,N226,Heavy Traffic,01140,2021-06-09 06:50:00,2021-06-09 06:50:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,1,Yes,Yes,No,2021-06-09 06:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656332,Special Ed AM Run,1387,N418,Heavy Traffic,"01325,01616",2021-06-09 08:02:00,2021-06-09 08:03:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,2,Yes,Yes,No,2021-06-09 08:03:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656460,Special Ed AM Run,2456,J617,Heavy Traffic,"75003,75140",2021-06-10 06:47:00,2021-06-10 06:48:00,New Jersey,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,No,No,No,2021-06-10 06:48:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656588,Special Ed AM Run,2029,N233,Heavy Traffic,"02011,02566",2021-06-10 07:42:00,2021-06-10 07:43:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2021-06-10 07:43:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656714,Special Ed AM Run,262,W202,Heavy Traffic,75550,2021-06-10 08:29:00,2021-06-10 08:30:00,Westchester,VAN TRANS LLC (B2192),16-30 Min,1,Yes,Yes,Yes,2021-06-10 08:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1656840,General Ed PM Run,2662,Q9075,Mechanical Problem,"30122,30512,30577",2021-06-10 13:30:00,2021-06-10 14:09:00,Queens,"GRANDPA`S BUS CO., INC.",,0,No,No,No,2021-06-10 14:09:00,,1900-01-01 00:00:00,Breakdown,School-Age
2020-2021,1656968,Special Ed AM Run,GC0017,X607,Heavy Traffic,"08069,08093,08107",2021-06-11 08:10:00,2021-06-11 08:18:00,Bronx,G.V.C. LTD. (B2192),31-45 Min,1,Yes,Yes,No,2021-06-11 08:18:00,,2021-06-11 08:47:50,Running Late,School-Age
2020-2021,1657095,Special Ed AM Run,1404,N437,Heavy Traffic,"02051,02414",2021-06-14 07:15:00,2021-06-14 07:20:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,2,Yes,Yes,No,2021-06-14 07:20:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1657225,Special Ed AM Run,5598,Q157,Heavy Traffic,28086,2021-06-15 07:03:00,2021-06-15 07:04:00,Queens,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,2021-06-15 07:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1657353,Special Ed PM Run,382,Y227,Mechanical Problem,"07224,07401,07497,08131",2021-06-15 13:35:00,2021-06-15 13:45:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),,0,Yes,No,No,2021-06-15 13:45:00,,2021-06-15 13:54:04,Breakdown,School-Age
2020-2021,1657479,Pre-K/EI,1349,HK2,Heavy Traffic,C268,2021-06-16 08:30:00,2021-06-16 08:34:00,Brooklyn,"FIRST STEPS TRANS, INC",16-30 Min,4,Yes,Yes,Yes,2021-06-16 08:34:00,,2021-06-16 08:38:16,Running Late,Pre-K
2020-2021,1657607,Special Ed AM Run,1964,N376,Heavy Traffic,04016,2021-06-17 07:56:00,2021-06-17 07:57:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,2,Yes,Yes,No,2021-06-17 07:57:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1657734,Special Ed AM Run,24644,X068,Other,08101,2021-06-18 07:34:00,2021-06-18 07:36:00,Bronx,VAN TRANS LLC (B2192),31-45 Min,0,Yes,Yes,Yes,2021-06-18 07:36:00,,2021-06-18 07:38:08,Running Late,School-Age
2020-2021,1657860,Special Ed AM Run,1300,N307,Heavy Traffic,02167,2021-06-21 07:01:00,2021-06-21 07:02:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2021-06-21 07:02:00,,2021-06-21 07:30:45,Running Late,School-Age
2020-2021,1657987,Special Ed AM Run,GT1480,Y210,Flat Tire,"09219,09466",2021-06-21 13:50:00,2021-06-21 13:59:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",,0,Yes,Yes,No,2021-06-21 13:59:00,,1900-01-01 00:00:00,Breakdown,School-Age
2020-2021,1658117,Pre-K/EI,1707,PS138,Accident,S138,2021-06-22 14:30:00,2021-06-22 14:32:00,Bronx,"DON THOMAS BUSES, INC.",31-45 Min,9,Yes,Yes,Yes,2021-06-22 14:32:00,,1900-01-01 00:00:00,Running Late,Pre-K
2020-2021,1658246,Special Ed AM Run,1164,N203,Heavy Traffic,"05133,05197",2021-06-24 07:19:00,2021-06-24 07:20:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2021-06-24 07:20:00,,1900-01-01 00:00:00,Running Late,School-Age
2020-2021,1658374,Special Ed PM Run,1348,N417,Heavy Traffic,"01019,01332,01422",2021-06-25 13:15:00,2021-06-25 13:16:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,0,Yes,Yes,No,2021-06-25 13:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1658498,Special Ed AM Run,10490,X013,Heavy Traffic,07449,2021-07-02 07:05:00,2021-07-02 07:12:00,Bronx,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2021-07-02 07:12:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1658625,Special Ed AM Run,2356,W647,Heavy Traffic,75670,2021-07-06 07:25:00,2021-07-06 07:27:00,Westchester,"RELIANT TRANS, INC.",46-60 Min,0,Yes,Yes,Yes,2021-07-06 07:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1658752,Special Ed AM Run,41802,K165,Other,"19002,19011,19036",2021-07-07 07:15:00,2021-07-07 07:19:00,Brooklyn,EMPIRE STATE BUS CORP.,0-15 Min,4,No,No,No,2021-07-07 07:19:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1658882,Special Ed AM Run,10523,K039,Problem Run,"22001,22286,22611",2021-07-08 07:27:00,2021-07-08 07:29:00,Brooklyn,"CONSOLIDATED BUS TRANSIT, INC.",46-60 Min,6,Yes,No,No,2021-07-08 07:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659008,Special Ed AM Run,10444,K001,Heavy Traffic,"16005,16081,16308,16455,16464",2021-07-09 06:34:00,2021-07-09 06:36:00,Brooklyn,"CONSOLIDATED BUS TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2021-07-09 06:36:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659135,Special Ed AM Run,61803,K007,Heavy Traffic,"16409,16458",2021-07-12 06:45:00,2021-07-12 06:49:00,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,2,No,No,No,2021-07-12 06:49:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659264,Special Ed AM Run,1468,M811,Heavy Traffic,"03004,03005,03658",2021-07-12 08:23:00,2021-07-12 08:24:00,Manhattan,L & M BUS CORP (A),61-90 Min,4,Yes,Yes,No,2021-07-12 08:24:00,,2021-07-12 08:25:31,Running Late,School-Age
2021-2022,1659391,Special Ed AM Run,1911,Q900,Heavy Traffic,"26115,26187,26447",2021-07-13 07:46:00,2021-07-13 07:47:00,Queens,HOYT TRANSPORTATION CORP.,16-30 Min,3,Yes,Yes,No,2021-07-13 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659518,Special Ed AM Run,41107,K104,Heavy Traffic,"32009,32010",2021-07-14 07:45:00,2021-07-14 07:47:00,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,2,No,No,No,2021-07-14 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659645,Special Ed AM Run,1817,R561,Heavy Traffic,31905,2021-07-15 07:50:00,2021-07-15 07:54:00,Staten Island,PRIDE TRANSPORTATION (SCH AGE),31-45 Min,1,Yes,Yes,No,2021-07-15 07:54:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659774,Special Ed AM Run,1702,R609,Heavy Traffic,31464,2021-07-16 07:56:00,2021-07-16 07:57:00,Staten Island,PRIDE TRANSPORTATION (SCH AGE),31-45 Min,3,Yes,Yes,No,2021-07-16 07:57:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1659901,Special Ed AM Run,6172,M846,Heavy Traffic,"02063,02503,02701,02721",2021-07-19 07:55:00,2021-07-19 08:08:00,Manhattan,L & M BUS CORP (A),46-60 Min,5,Yes,Yes,No,2021-07-19 08:08:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1660027,Special Ed AM Run,1905,Q909,Heavy Traffic,26490,2021-07-21 07:15:00,2021-07-21 08:02:00,Queens,HOYT TRANSPORTATION CORP.,16-30 Min,3,Yes,Yes,No,2021-07-21 08:02:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1660154,Pre-K/EI,52153,3003Z,Delayed by School,C912,2021-07-22 14:30:00,2021-07-22 14:51:00,Brooklyn,L & M BUS CORP.,16-30 Min,14,No,Yes,No,2021-07-22 14:51:00,,2021-07-22 18:25:55,Running Late,Pre-K
2021-2022,1660281,Special Ed AM Run,16370,X091,Mechanical Problem,11012,2021-07-26 07:06:00,2021-07-26 07:08:00,Bronx,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2021-07-26 07:08:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1660409,Special Ed AM Run,303,K414,Heavy Traffic,"14071,14459",2021-07-27 07:46:00,2021-07-27 07:48:00,Brooklyn,"ADDIES TRANSPORTATION, INC",16-30 Min,5,Yes,Yes,No,2021-07-27 07:48:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1660536,Pre-K/EI,52153,3003Z,Heavy Traffic,C912,2021-07-28 15:20:00,2021-07-28 15:21:00,Brooklyn,L & M BUS CORP.,16-30 Min,0,No,No,No,2021-07-28 15:21:00,,2021-07-28 16:15:09,Running Late,Pre-K
2021-2022,1660663,Special Ed AM Run,21506,K061,Heavy Traffic,"18003,18027,18028,18211,18433",2021-07-30 07:45:00,2021-07-30 07:47:00,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,6,No,No,No,2021-07-30 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1660790,Special Ed AM Run,2002,M909,Heavy Traffic,"05445,05621",2021-08-02 08:16:00,2021-08-02 08:16:00,Manhattan,L & M BUS CORP (A),46-60 Min,1,Yes,Yes,No,2021-08-02 08:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1660917,Pre-K/EI,6185,B0941D,Heavy Traffic,E052A,2021-08-03 11:40:00,2021-08-03 12:03:00,Brooklyn,L & M BUS CORP.,0-15 Min,0,Yes,Yes,Yes,2021-08-03 12:03:00,,2021-08-03 13:21:25,Running Late,Pre-K
2021-2022,1661044,Special Ed AM Run,338,N989,Heavy Traffic,75911,2021-08-05 06:57:00,2021-08-05 06:59:00,Nassau County,L & M BUS CORP (A),16-30 Min,0,Yes,Yes,Yes,2021-08-05 06:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1661171,Pre-K/EI,52295,3005Z,Delayed by School,C912,2021-08-06 14:00:00,2021-08-06 14:57:00,Brooklyn,L & M BUS CORP.,0-15 Min,10,Yes,Yes,No,2021-08-06 14:57:00,,2021-08-06 17:05:33,Running Late,Pre-K
2021-2022,1661297,Special Ed PM Run,1931,R594,Heavy Traffic,31985,2021-08-09 14:07:00,2021-08-09 14:09:00,Staten Island,PRIDE TRANSPORTATION (SCH AGE),46-60 Min,0,Yes,Yes,No,2021-08-09 14:09:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1661423,Special Ed AM Run,1865,R642,Heavy Traffic,"31470,31473,31490",2021-08-11 06:48:00,2021-08-11 06:53:00,Staten Island,PRIDE TRANSPORTATION (SCH AGE),16-30 Min,0,Yes,Yes,No,2021-08-11 06:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1661550,Special Ed AM Run,1247,M645,Heavy Traffic,"02098,02308,02516",2021-08-12 08:22:00,2021-08-12 08:23:00,Manhattan,HOYT TRANSPORTATION CORP.,46-60 Min,1,Yes,Yes,No,2021-08-12 08:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1661679,Pre-K/EI,6115,B0254Y,Other,E083,2021-08-17 12:15:00,2021-08-17 12:29:00,Brooklyn,L & M BUS CORP.,31-45 Min,0,Yes,Yes,Yes,2021-08-17 12:29:00,,2021-08-17 14:28:08,Running Late,Pre-K
2021-2022,1661806,Pre-K/EI,6120,B0412Z,Delayed by School,C009,2021-09-09 17:40:00,2021-09-09 17:48:00,Queens,I & Y TRANSIT CORP,16-30 Min,0,No,Yes,No,2021-09-09 17:48:00,,1900-01-01 00:00:00,Running Late,Pre-K
2021-2022,1661932,Special Ed AM Run,74633,X253,Delayed by School,"11458,11654",2021-09-13 06:56:00,2021-09-13 07:00:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,Yes,2021-09-13 07:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1662059,General Ed AM Run,857,X2222,Heavy Traffic,"07597,07688",2021-09-13 07:29:00,2021-09-13 07:29:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,Yes,No,No,2021-09-13 07:29:00,,2021-09-13 08:37:21,Running Late,School-Age
2021-2022,1662187,Special Ed AM Run,1563,M896,Mechanical Problem,03910,2021-09-13 08:03:00,2021-09-13 08:04:00,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",,0,No,No,No,2021-09-13 08:04:00,,1900-01-01 00:00:00,Breakdown,School-Age
2021-2022,1662314,Special Ed PM Run,1157,L797,Mechanical Problem,"15321,15430",2021-09-13 14:00:00,2021-09-13 14:03:00,Bronx,"RELIANT TRANSPORTATION, INC (B2321)",,0,Yes,Yes,No,2021-09-13 14:03:00,,1900-01-01 00:00:00,Breakdown,School-Age
2021-2022,1662440,General Ed AM Run,263,X2253,Mechanical Problem,"07233,07672",2021-09-14 06:30:00,2021-09-14 06:46:00,Bronx,LOGAN TRANSPORTATION SYSTEMS,,0,Yes,Yes,No,2021-09-14 06:46:00,,1900-01-01 00:00:00,Breakdown,School-Age
2021-2022,1662568,Pre-K/EI,2616,HK1,Heavy Traffic,C943,2021-09-14 07:47:00,2021-09-14 07:50:00,Bronx,ANOTHER RIDE INC.,46-60 Min,3,Yes,Yes,Yes,2021-09-14 07:50:00,,1900-01-01 00:00:00,Running Late,Pre-K
2021-2022,1662695,Special Ed AM Run,24628,X081,Heavy Traffic,"08464,08524,08558",2021-09-14 09:04:00,2021-09-14 09:06:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,15,Yes,Yes,Yes,2021-09-14 09:06:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663128,Pre-K/EI,9063,B0511A,Other,C104,2021-09-17 07:00:00,2021-09-17 07:05:00,Brooklyn,L & M BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2021-09-17 07:05:00,,2021-09-17 09:31:28,Running Late,Pre-K
2021-2022,1662946,General Ed AM Run,131,X2001,Heavy Traffic,07818,2021-09-15 08:09:00,2021-09-15 08:10:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,Yes,No,No,2021-09-15 08:10:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663073,Special Ed AM Run,75601,X367,Heavy Traffic,"12195,12466",2021-09-17 06:15:00,2021-09-17 06:22:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,No,2021-09-17 06:22:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663202,Special Ed AM Run,2003,X060,Heavy Traffic,"08269,08410",2021-09-17 07:47:00,2021-09-17 07:50:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,6,Yes,No,No,2021-09-17 07:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663327,General Ed PM Run,636,X9042,Other,"08345,08547",2021-09-17 12:33:00,2021-09-17 12:34:00,Bronx,PIONEER TRANSPORTATION CORP,31-45 Min,0,Yes,No,No,2021-09-17 12:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663453,Special Ed AM Run,21601,K055,Heavy Traffic,"13433,13461,13527",2021-09-20 07:00:00,2021-09-20 07:01:00,Brooklyn,ALLIED TRANSIT CORP.,16-30 Min,4,No,No,No,2021-09-20 07:01:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663581,Special Ed AM Run,9034,X112,Heavy Traffic,"09028,09117,09163,09173,09569",2021-09-20 07:47:00,2021-09-20 07:47:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,9034,Yes,No,No,2021-09-20 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663709,General Ed PM Run,26625,K9108,Other,"20164,20179,20192",2021-09-20 13:06:00,2021-09-20 13:17:00,Brooklyn,SNT BUS INC,46-60 Min,0,Yes,Yes,No,2021-09-20 13:17:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1663836,General Ed AM Run,9077,Q2933,Flat Tire,26216,2021-09-21 07:05:00,2021-09-21 07:06:00,Queens,QUALITY TRANSPORTATION CORP.,31-45 Min,0,Yes,No,No,2021-09-21 07:06:00,,2021-09-21 07:44:16,Running Late,School-Age
2021-2022,1663963,General Ed AM Run,847,R1163,Heavy Traffic,31861,2021-09-21 07:30:00,2021-09-21 07:58:00,Staten Island,PIONEER TRANSPORTATION CORP,16-30 Min,0,No,No,No,2021-09-21 07:58:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664091,General Ed AM Run,6017,X9056,Other,"07021,07688",2021-09-21 17:04:00,2021-09-21 17:06:00,Bronx,PIONEER TRANSPORTATION CORP,31-45 Min,2,No,No,No,2021-09-21 17:06:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664216,Special Ed AM Run,1410,Q218,Heavy Traffic,"26017,26525",2021-09-22 07:25:00,2021-09-22 07:27:00,Queens,FIRST STEPS TRANS INC. (B2192),0-15 Min,3,Yes,Yes,No,2021-09-22 07:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664343,General Ed AM Run,2442,K1517,Other,15044,2021-09-22 07:20:00,2021-09-22 08:14:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,46-60 Min,0,Yes,No,No,2021-09-22 08:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664470,Special Ed AM Run,1341,M114,Other,04016,2021-09-23 06:54:00,2021-09-23 06:55:00,Manhattan,FIRST STEPS TRANS INC. (B2192),46-60 Min,0,No,Yes,No,2021-09-23 06:55:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664595,Special Ed AM Run,1704,M618,Heavy Traffic,"02019,02035",2021-09-23 07:49:00,2021-09-23 07:52:00,Manhattan,PHILLIP BUS CORP (B2192),46-60 Min,1,Yes,No,No,2021-09-23 07:52:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664723,Pre-K/EI,7169,4502ZZ,Other,E224,2021-09-23 03:25:00,2021-09-23 15:50:00,Brooklyn,L & M BUS CORP.,16-30 Min,0,Yes,Yes,No,2021-09-23 15:50:00,,2021-09-23 18:20:06,Running Late,Pre-K
2021-2022,1664851,General Ed AM Run,4104,K1778,Heavy Traffic,13133,2021-09-24 07:06:00,2021-09-24 07:07:00,Brooklyn,QUALITY TRANSPORTATION CORP.,16-30 Min,0,No,No,No,2021-09-24 07:07:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1664978,General Ed AM Run,470,R1091,Problem Run,"31072,31757",2021-09-24 07:30:00,2021-09-24 07:51:00,Staten Island,PIONEER TRANSPORTATION CORP,16-30 Min,0,No,No,No,2021-09-24 07:51:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1665105,Special Ed AM Run,1416,L613,Mechanical Problem,"14120,14132,14196,14257,14318,14558,14616",2021-09-27 05:58:00,2021-09-27 06:00:00,All Boroughs,HOYT TRANSPORTATION CORP.,,0,Yes,Yes,No,2021-09-27 06:00:00,,1900-01-01 00:00:00,Breakdown,School-Age
2021-2022,1665230,Special Ed AM Run,21102,K097,Heavy Traffic,"19015,19214,19346,19453,19528",2021-09-27 07:15:00,2021-09-27 07:18:00,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,5,No,No,No,2021-09-27 07:18:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1665356,Special Ed AM Run,1383,N437,Heavy Traffic,"02414,02483,02596",2021-09-27 08:04:00,2021-09-27 08:04:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,1,Yes,Yes,No,2021-09-27 08:04:00,,2021-09-27 08:37:47,Running Late,School-Age
2021-2022,1665483,Special Ed AM Run,1223,N133,Heavy Traffic,"03710,03712",2021-09-28 06:19:00,2021-09-28 06:20:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,2021-09-28 06:20:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1665610,Special Ed AM Run,57142,N843,Other,75627,2021-09-28 07:10:00,2021-09-28 07:17:00,Nassau County,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2021-09-28 07:17:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1665737,Special Ed AM Run,74630,X349,Delayed by School,"12420,12450",2021-09-28 08:08:00,2021-09-28 08:10:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,11,Yes,Yes,Yes,2021-09-28 08:10:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1665866,Special Ed AM Run,1311,N622,Heavy Traffic,02699,2021-09-29 06:40:00,2021-09-29 06:51:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,1,Yes,Yes,No,2021-09-29 06:51:00,,2021-09-29 06:55:46,Running Late,School-Age
2021-2022,1665993,Special Ed AM Run,24663,X027,Heavy Traffic,07480,2021-09-29 07:41:00,2021-09-29 07:43:00,Bronx,VAN TRANS LLC (B2192),16-30 Min,13,Yes,No,Yes,2021-09-29 07:43:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1666118,Special Ed PM Run,1393,N120,Heavy Traffic,"05079,05133,05440",2021-09-29 13:28:00,2021-09-29 13:30:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2021-09-29 13:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1666245,Special Ed AM Run,41404,K003,Heavy Traffic,"13369,13469,13555,13688,13915",2021-09-30 06:45:00,2021-09-30 06:47:00,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,2,No,No,No,2021-09-30 06:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1666372,General Ed AM Run,847,R1163,Heavy Traffic,31861,2021-09-30 07:30:00,2021-09-30 07:40:00,Staten Island,PIONEER TRANSPORTATION CORP,16-30 Min,0,No,No,No,2021-09-30 07:40:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1666500,Pre-K/EI,9058,B0254W,Other,E083,2021-09-30 10:25:00,2021-09-30 10:33:00,Brooklyn,L & M BUS CORP.,31-45 Min,0,Yes,Yes,No,2021-09-30 10:33:00,,2021-09-30 12:08:59,Running Late,Pre-K
2021-2022,1666627,Special Ed AM Run,1469,N465,Heavy Traffic,"03480,03687,03931",2021-10-01 06:25:00,2021-10-01 06:25:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,1,Yes,Yes,No,2021-10-01 06:25:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1666754,Special Ed AM Run,24,N397,Problem Run,"02986,17669",2021-10-01 00:00:00,2021-10-01 07:16:00,Nassau County,CAREFUL BUS,16-30 Min,4,Yes,Yes,No,2021-10-01 07:16:00,,2021-10-01 08:04:26,Running Late,School-Age
2021-2022,1666882,Special Ed AM Run,9133,K738,Heavy Traffic,"20442,20500,20654,20802",2021-10-01 07:56:00,2021-10-01 07:58:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),46-60 Min,13,Yes,Yes,No,2021-10-01 07:58:00,,2021-10-01 08:06:04,Running Late,School-Age
2021-2022,1667008,Special Ed PM Run,74621,X229,Heavy Traffic,11465,2021-10-01 15:21:00,2021-10-01 15:23:00,Bronx,VAN TRANS LLC (B2192),16-30 Min,8,Yes,Yes,No,2021-10-01 15:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667134,General Ed AM Run,1150,K1778,Mechanical Problem,13133,2021-10-04 06:55:00,2021-10-04 06:57:00,Brooklyn,QUALITY TRANSPORTATION CORP.,31-45 Min,0,No,No,No,2021-10-04 06:57:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667262,Special Ed AM Run,60,K570,Heavy Traffic,"20205,20462,21682",2021-10-04 07:28:00,2021-10-04 07:29:00,Brooklyn,CAREFUL BUS,16-30 Min,5,Yes,Yes,No,2021-10-04 07:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667389,Special Ed AM Run,9033,K738,Heavy Traffic,"20442,20500,20654,20802",2021-10-04 07:50:00,2021-10-04 07:59:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,12,Yes,Yes,No,2021-10-04 07:59:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667517,Special Ed PM Run,1476,N257,Heavy Traffic,"01539,01616,01854",2021-10-04 14:02:00,2021-10-04 14:03:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,0,Yes,Yes,No,2021-10-04 14:03:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667644,Special Ed AM Run,2856,N416,Heavy Traffic,02990,2021-10-05 06:46:00,2021-10-05 06:47:00,Manhattan,LEESEL TRANSPORTATION CORP (B2192),61-90 Min,0,Yes,Yes,No,2021-10-05 06:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667773,Special Ed AM Run,24643,X134,Problem Run,"10095,10445",2021-10-05 07:33:00,2021-10-05 07:35:00,Bronx,VAN TRANS LLC (B2192),16-30 Min,9,Yes,No,Yes,2021-10-05 07:35:00,,1900-01-01 00:00:00,Running Late,School-Age
2021-2022,1667901,Pre-K/EI,357,03,Heavy Traffic,C814,2021-10-05 08:45:00,2021-10-05 08:46:00,Bronx,"G.V.C., LTD.",16-30 Min,12,No,No,No,2021-10-05 08:46:00,,1900-01-01 00:00:00,Running Late,Pre-K
